"","SSOC","Year","Industry","Level","Occupation","Basic Wage -  25th Percentile ($)","Basic Wage -  Median  ($)","Basic Wage -  75th Percentile ($)","Gross Wage -  25th Percentile ($)","Gross Wage -  Median  ($)","Gross Wage -  75th Percentile ($)"
"1","12112",2019,"manufacturing","managers","Administration manager","5000","6000","7320","5180","6072","7557"
"2","12111",2019,"manufacturing","managers","Budgeting and financial accounting manager ","5722","7967","12025","5989","8175","12242"
"3","12212",2019,"manufacturing","managers","Business development manager","5431","7256","10796","5571","7500","11749"
"4","11203",2019,"manufacturing","managers","Chief operating officer/General Manager","6990","11300","16000","7500","12033","17726"
"5","12241",2019,"manufacturing","managers","Customer service manager","4625","6600","9220","4750","6918","9687"
"6","1212",2019,"manufacturing","managers","Human resource manager","5772","8087","11094","5943","8437","11724"
"7","11201",2019,"manufacturing","managers","Managing director/Chief executive officer","5000","8000","14500","5000","8000","15000"
"8","13211",2019,"manufacturing","managers","Manufacturing plant/Production manager","5400","7651","10382","5700","8152","11170"
"9","13303",2019,"manufacturing","managers","Network and communications manager","6675","9495","11526","7244","9761","11861"
"10","12130",2019,"manufacturing","managers","Policy and planning manager","8249","11418","13820","8364","11601","13939"
"11","12191",2019,"manufacturing","managers","Premises and facilities maintenance manager ","5925","9099","12380","6522","9249","12543"
"12","13242",2019,"manufacturing","managers","Procurement/Purchasing manager","5518","6868","9359","5526","7027","9802"
"13","13292",2019,"manufacturing","managers","Quality assurance manager","6014","9140","12496","6300","9672","13278"
"14","12230",2019,"manufacturing","managers","Research and development manager","7564","9190","11165","7714","9677","11833"
"15","14121",2019,"manufacturing","managers","Restaurant manager","2400","2750","3000","2400","2750","3034"
"16","12211",2019,"manufacturing","managers","Sales and marketing manager","5000","6741","9479","5380","7088","10361"
"17","13302",2019,"manufacturing","managers","Software and applications manager","8000","8909","11111","8104","9792","11940"
"18","13241",2019,"manufacturing","managers","Supply and distribution/Logistics/Warehousing manager","4916","7280","9500","5360","7396","10122"
"19","13291",2019,"manufacturing","managers","Technical/Engineering services manager ","6270","8839","11822","6538","9188","12470"
"20","24111",2019,"manufacturing","professionals","Accountant ","4050","4866","5850","4120","4912","5906"
"21","2131",2019,"manufacturing","professionals","Biologist, botanist, zoologist and related professional","3481","4000","4591","5201","6603","7525"
"22","2145",2019,"manufacturing","professionals","Chemical engineer","3950","4850","6152","4120","5594","7113"
"23","21130",2019,"manufacturing","professionals","Chemist","3519","4500","5998","4324","5423","7036"
