"","industry","occupation","jobtitle","company","jobspec","careerlevel","salary","qualifications","jobtype","experience","joblink"
"1","Accommodation And Food Services","Management Executive","Assistant Restaurant Manager","Iggy's Pte Ltd","Accommodation And Food Services","Junior Executive","SGD 2,800 , SGD 3,500","Primary/Secondary School/O Level","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/assistant-restaurant-manager-8953389?jobId=jobstreet-sg-job-8953389&sectionRank=20&token=0~d1e145ea-ce64-4814-80d2-168ee38cfd12&fr=SRP%20Job%20Listing"
"2","Accommodation And Food Services","Personnel/Human Resource Officer","Assistant Restaurant Manager","Domino's Pizza Singapore","Accommodation And Food Services","Senior Executive","SGD 2,500 , SGD 3,000","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/assistant-restaurant-manager-8923359?jobId=jobstreet-sg-job-8923359&sectionRank=17&token=0~7102566c-f5cf-404b-9ae8-a07cfbdba409&fr=SRP%20Job%20Listing"
"3","Accommodation And Food Services","Sales Manager","Area Manager","Stuff'd Ventures Pte Ltd","Accommodation And Food Services","Manager","SGD 3,500 , SGD 5,000","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/area-manager-8936653?jobId=jobstreet-sg-job-8936653&sectionRank=19&token=0~50d42170-a7df-4da6-a68a-d6926392d4a5&fr=SRP%20Job%20Listing"
"4","Accommodation And Food Services","Sales Manager","Service Manager","Menu Pte Ltd","Accommodation And Food Services","Manager","SGD 2,200 , SGD 3,200","Primary/Secondary School/O Level, Higher Secondary/Pre-U/'A' Level, Professional Certificate/NiTEC","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/service-manager-8997138?jobId=jobstreet-sg-job-8997138&sectionRank=28&token=0~50d42170-a7df-4da6-a68a-d6926392d4a5&fr=SRP%20Job%20Listing"
"5","Accommodation And Food Services","Sales Manager","Sous Chef","Golden Village Multiplex Pte Ltd","Accommodation And Food Services","Junior Executive","SGD 2,200 , SGD 2,500","Professional Certificate/NiTEC","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sous-chef-8979554?jobId=jobstreet-sg-job-8979554&sectionRank=36&token=0~2792de5e-977a-427d-b4ca-88a499ecc04e&fr=SRP%20Job%20Listing"
"6","Accommodation And Food Services","Restaurant Manager","Assistant Restaurant Manager","Iggy's Pte Ltd","Accommodation And Food Services","Junior Executive","SGD 2,800 , SGD 3,500","Primary/Secondary School/O Level","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/assistant-restaurant-manager-8953389?jobId=jobstreet-sg-job-8953389&sectionRank=1&token=0~b0d3d48f-49f3-49cb-b869-f4a81bc446da&fr=SRP%20Job%20Listing"
"7","Accommodation And Food Services","Restaurant Manager","Service Manager","Menu Pte Ltd","Accommodation And Food Services","Manager","SGD 2,200 , SGD 3,200","Primary/Secondary School/O Level, Higher Secondary/Pre-U/'A' Level, Professional Certificate/NiTEC","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/service-manager-8997138?jobId=jobstreet-sg-job-8997138&sectionRank=6&token=0~b0d3d48f-49f3-49cb-b869-f4a81bc446da&fr=SRP%20Job%20Listing"
"8","Accommodation And Food Services","Restaurant Manager","Restaurant Manager","Company Confidential","Accommodation And Food Services","Senior Executive","SGD 5,000 , SGD 5,500","Professional Certificate/NiTEC","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/restaurant-manager-8985769?jobId=jobstreet-sg-job-8985769&sectionRank=7&token=0~b0d3d48f-49f3-49cb-b869-f4a81bc446da&fr=SRP%20Job%20Listing"
"9","Accommodation And Food Services","Restaurant Manager","Assistant Restaurant Manager","Buddy Hoagies Pte Ltd","Accommodation And Food Services","Senior Executive","SGD 2,700 , SGD 2,800","Primary/Secondary School/O Level, Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/assistant-restaurant-manager-8932229?jobId=jobstreet-sg-job-8932229&sectionRank=17&token=0~b0d3d48f-49f3-49cb-b869-f4a81bc446da&fr=SRP%20Job%20Listing"
"10","Accommodation And Food Services","Restaurant Manager","Assistant Store Manager","Tenya Singapore Pte Ltd","Accommodation And Food Services","Manager","SGD 2,600 , SGD 2,800","Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/assistant-store-manager-8895136?jobId=jobstreet-sg-job-8895136&sectionRank=18&token=0~b0d3d48f-49f3-49cb-b869-f4a81bc446da&fr=SRP%20Job%20Listing"
