"","year","quarter","industry1","industry2","industry3","total_employment","employment_change","job_vacancy_rate","recruitment_rate","resignation_rate","retrench_rate","emp_ch_rate","Year"
"1",2010,1,"services","accommodation and food services","accommodation",30200,2200,4.6,3.9,3.3,0,7.28476821192053,"2010 Q1"
"2",2010,1,"services","transportation and storage","air transport and supporting services",25600,0,4.5,0.9,0.9,0,0,"2010 Q1"
"3",2010,1,"services","professional services","architectural and engineering services",53100,1700,1,1.7,1.4,70,3.2015065913371,"2010 Q1"
"4",2010,1,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",47000,5100,2,10,2.1,0,10.8510638297872,"2010 Q1"
"5",2010,1,"services","administrative and support services","cleaning and landscaping",44700,1100,1.4,5.1,5.4,0,2.46085011185682,"2010 Q1"
"6",2010,1,"construction","construction","construction",375300,-2600,1,2.1,1.7,340,-0.692779110045297,"2010 Q1"
"7",2010,1,"manufacturing","manufacturing","electronic, computer and optical products",97200,2400,2.4,1.8,1.6,340,2.46913580246914,"2010 Q1"
"8",2010,1,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",103400,500,1.9,1.6,1.5,300,0.483558994197292,"2010 Q1"
"9",2010,1,"services","financial and insurance services","financial services",112900,-2300,1.7,2.3,1.3,180,-2.03720106288751,"2010 Q1"
"10",2010,1,"services","accommodation and food services","food and beverage services",163200,1000,3.6,4.2,4.5,60,0.612745098039216,"2010 Q1"
"11",2010,1,"manufacturing","manufacturing","food, beverages and tobacco",35200,800,1.5,2.6,2.5,0,2.27272727272727,"2010 Q1"
"12",2010,1,"services","education, health and social services","health and social services",93100,2300,3.3,2.3,1.5,20,2.47046186895811,"2010 Q1"
"13",2010,1,"services","financial and insurance services","insurance services",27300,100,2.6,1.8,1.4,20,0.366300366300366,"2010 Q1"
"14",2010,1,"services","information and communications","it and other information services",56000,1900,2.8,3.4,2.4,40,3.39285714285714,"2010 Q1"
"15",2010,1,"services","transportation and storage","land transport and supporting services",80400,600,2,1.8,1.7,10,0.746268656716418,"2010 Q1"
"16",2010,1,"services","professional services","legal, accounting and management services",80200,-1200,2.1,2.8,2.2,60,-1.49625935162095,"2010 Q1"
"17",2010,1,"services","administrative and support services","other administrative and support services",86000,4900,1.7,4,2.8,130,5.69767441860465,"2010 Q1"
